"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 15:22:04 CET 2022","Fri Nov 18 15:22:17 CET 2022","13078","","Cloud calculator hard","","Cloud calculator hard","should allow to search for calculator","should allow to search for calculator",""
"passed","Fri Nov 18 15:22:17 CET 2022","Fri Nov 18 15:22:23 CET 2022","5706","","Cloud calculator hard","","Cloud calculator hard","should allow to fill up estimation form","should allow to fill up estimation form",""
"broken","Fri Nov 18 15:22:23 CET 2022","Fri Nov 18 15:22:28 CET 2022","4978","","Cloud calculator hard","","Cloud calculator hard","should allow to send email","should allow to send email",""
"passed","Fri Nov 18 15:22:22 CET 2022","Fri Nov 18 15:22:38 CET 2022","15502","","Cloud calculator hard","","Cloud calculator hard","should allow to send email","should allow to send email",""
"passed","Fri Nov 18 15:22:04 CET 2022","Fri Nov 18 15:22:19 CET 2022","15513","","Cloud calculator regular","","Cloud calculator regular","should allow to search for calculator","should allow to search for calculator",""
"broken","Fri Nov 18 15:22:16 CET 2022","Fri Nov 18 15:22:24 CET 2022","8006","","Cloud calculator regular","","Cloud calculator regular","should allow to fill up estimation form","should allow to fill up estimation form",""
"passed","Fri Nov 18 15:22:14 CET 2022","Fri Nov 18 15:22:22 CET 2022","7635","","Cloud calculator hard","","Cloud calculator hard","should allow to fill up estimation form","should allow to fill up estimation form",""
"passed","Fri Nov 18 15:22:19 CET 2022","Fri Nov 18 15:22:25 CET 2022","5370","","Cloud calculator regular","","Cloud calculator regular","should allow to fill up estimation form","should allow to fill up estimation form",""
"passed","Fri Nov 18 15:22:04 CET 2022","Fri Nov 18 15:22:16 CET 2022","12641","","Cloud calculator regular","","Cloud calculator regular","should allow to search for calculator","should allow to search for calculator",""
"passed","Fri Nov 18 15:22:04 CET 2022","Fri Nov 18 15:22:14 CET 2022","10675","","Cloud calculator hard","","Cloud calculator hard","should allow to search for calculator","should allow to search for calculator",""
